
13-02-2018 10:39:58:080 - I: 	Executing process python.exe "" B "C:\Users\Dafi Faraz\Documents\GitHub\tubes1Stima\Game Engine\Replays\2018-02-13 10-39-57-594\Phase 1 - Round 0\B"
13-02-2018 10:39:58:142 - I: 	Bot calibration complete and can run an additional 57ms due to environment startup
13-02-2018 10:39:58:142 - D: 	Executing bot with following commands python.exe "bot.py" B "C:\Users\Dafi Faraz\Documents\GitHub\tubes1Stima\Game Engine\Replays\2018-02-13 10-39-57-594\Phase 1 - Round 0\B"
13-02-2018 10:39:58:142 - I: 	Executing process python.exe "bot.py" B "C:\Users\Dafi Faraz\Documents\GitHub\tubes1Stima\Game Engine\Replays\2018-02-13 10-39-57-594\Phase 1 - Round 0\B"
13-02-2018 10:39:58:142 - I: 	Bot has 4000ms to run before it will be forcefully killed
13-02-2018 10:39:58:180 - E: 	Output from bot:   File "bot.py", line 42
13-02-2018 10:39:58:180 - E: 	Output from bot:     def aroundHit2(cells) :
13-02-2018 10:39:58:180 - E: 	Output from bot:                           ^
13-02-2018 10:39:58:180 - E: 	Output from bot: IndentationError: unindent does not match any outer indentation level
13-02-2018 10:39:58:195 - E: 	Output from bot: 
13-02-2018 10:39:58:195 - I: 	Output from bot: 
13-02-2018 10:39:58:195 - I: 	Your bots total execution time was 00:00:00.0446684
